event,event_name,market,driver,grid_pos,direction,entry_price,base_rate,edge,kelly,position_pct,stake,contracts,outcome,finish_pos,event_happened,gross_pnl,net_pnl,bankroll_after
AZEGP25,Azerbaijan Grand Prix,RACEPODIUM,ANT,4,BUY_YES,0.1609,0.3704,0.2095,0.2497,0.0624,1.9,11.8,LOSS,4,False,-1.9,-1.9,28.52
AZEGP25,Azerbaijan Grand Prix,RACEPODIUM,SAI,2,BUY_YES,0.1411,0.5455,0.4044,0.4708,0.1177,3.36,23.8,WIN,3,True,20.34,19.01,47.53
AZEGP25,Azerbaijan Grand Prix,RACEPODIUM,RUS,5,BUY_NO,0.6747,0.2037,0.1216,0.3738,0.0935,4.44,6.58,LOSS,2,True,-4.44,-4.44,43.09
AZEGP25,Azerbaijan Grand Prix,RACEPODIUM,LAW,3,BUY_YES,0.0588,0.4057,0.3469,0.3686,0.0921,3.97,67.52,LOSS,5,False,-3.97,-3.97,39.12
SINGP25,Singapore Grand Prix,RACE,VER,2,BUY_NO,0.5569,0.2364,0.2067,0.4665,0.1166,4.56,8.19,WIN,2,False,3.61,3.38,42.5
SINGP25,Singapore Grand Prix,RACE,RUS,1,BUY_NO,0.6335,0.25,0.1165,0.3179,0.0795,3.38,5.33,LOSS,1,True,-3.38,-3.38,39.12
SINGP25,Singapore Grand Prix,RACEPODIUM,VER,2,BUY_NO,0.2052,0.5455,0.2493,0.3137,0.0784,3.07,14.95,LOSS,2,True,-3.07,-3.07,36.05
SINGP25,Singapore Grand Prix,RACEPODIUM,RUS,1,BUY_NO,0.238,0.6481,0.1139,0.1495,0.0374,1.35,5.66,LOSS,1,True,-1.35,-1.35,34.7
SINGP25,Singapore Grand Prix,RACEPODIUM,PIA,3,BUY_NO,0.3055,0.4057,0.2888,0.4158,0.104,3.61,11.81,WIN,4,False,8.16,7.63,42.33
SINGP25,Singapore Grand Prix,RACEPODIUM,NOR,5,BUY_NO,0.5881,0.2037,0.2082,0.5055,0.1264,5.35,9.1,LOSS,3,True,-5.35,-5.35,36.98
SINGP25,Singapore Grand Prix,RACEPODIUM,HAM,6,BUY_YES,0.0479,0.2358,0.1879,0.1974,0.0493,1.82,38.09,LOSS,8,False,-1.82,-1.82,35.16
SINGP25,Singapore Grand Prix,RACEPODIUM,ANT,4,BUY_YES,0.1804,0.3704,0.19,0.2318,0.058,2.04,11.29,LOSS,5,False,-2.04,-2.04,33.12
UNISGP25,United States Grand Prix,RACE,VER,1,BUY_NO,0.3844,0.25,0.3656,0.5939,0.1485,4.92,12.79,LOSS,1,True,-4.92,-4.92,28.2
UNISGP25,United States Grand Prix,RACE,NOR,2,BUY_NO,0.6996,0.2364,0.064,0.213,0.0533,1.5,2.15,WIN,2,False,0.64,0.6,28.8
UNISGP25,United States Grand Prix,RACEPODIUM,VER,1,BUY_NO,0.1269,0.6481,0.225,0.2577,0.0644,1.86,14.62,LOSS,1,True,-1.86,-1.86,26.95
UNISGP25,United States Grand Prix,RACEPODIUM,RUS,4,BUY_NO,0.5017,0.3704,0.1279,0.2567,0.0642,1.73,3.45,WIN,6,False,1.71,1.6,28.54
UNISGP25,United States Grand Prix,RACEPODIUM,PIA,6,BUY_NO,0.5972,0.2358,0.167,0.4146,0.1036,2.96,4.95,WIN,5,False,1.99,1.86,30.4
UNISGP25,United States Grand Prix,RACEPODIUM,NOR,2,BUY_NO,0.1535,0.5455,0.301,0.3556,0.0889,2.7,17.61,LOSS,2,True,-2.7,-2.7,27.7
GRAPDM25,Mexico City Grand Prix,RACE,NOR,1,BUY_NO,0.3376,0.25,0.4124,0.6226,0.15,4.15,12.31,LOSS,1,True,-4.15,-4.15,23.54
GRAPDM25,Mexico City Grand Prix,RACEPODIUM,VER,5,BUY_NO,0.4057,0.2037,0.3906,0.6572,0.15,3.53,8.7,LOSS,3,True,-3.53,-3.53,20.01
GRAPDM25,Mexico City Grand Prix,RACEPODIUM,NOR,1,BUY_NO,0.1287,0.6481,0.2232,0.2562,0.064,1.28,9.96,LOSS,1,True,-1.28,-1.28,18.73
GRAPDM25,Mexico City Grand Prix,RACEPODIUM,LEC,2,BUY_NO,0.3035,0.5455,0.151,0.2168,0.0542,1.02,3.34,LOSS,2,True,-1.02,-1.02,17.71
LASVGP25,Las Vegas Grand Prix,RACE,VER,2,BUY_NO,0.5847,0.2364,0.1789,0.4308,0.1077,1.91,3.26,LOSS,1,True,-1.91,-1.91,15.81
LASVGP25,Las Vegas Grand Prix,RACE,NOR,1,BUY_NO,0.5212,0.25,0.2288,0.4779,0.1195,1.89,3.62,WIN,19,False,1.73,1.61,17.42
LASVGP25,Las Vegas Grand Prix,RACEPODIUM,VER,2,BUY_NO,0.1448,0.5455,0.3097,0.3621,0.0905,1.58,10.89,LOSS,1,True,-1.58,-1.58,15.84
LASVGP25,Las Vegas Grand Prix,RACEPODIUM,RUS,4,BUY_NO,0.4028,0.3704,0.2268,0.3798,0.0949,1.5,3.73,LOSS,2,True,-1.5,-1.5,14.34
LASVGP25,Las Vegas Grand Prix,RACEPODIUM,PIA,5,BUY_NO,0.6706,0.2037,0.1257,0.3816,0.0954,1.37,2.04,WIN,20,False,0.67,0.62,14.96
QATGP25,Qatar Grand Prix,RACE,PIA,1,BUY_NO,0.3978,0.25,0.3522,0.5849,0.1462,2.19,5.5,WIN,2,False,3.3,3.08,18.04
QATGP25,Qatar Grand Prix,RACEPODIUM,VER,3,BUY_NO,0.2955,0.4057,0.2988,0.4241,0.106,1.91,6.47,LOSS,1,True,-1.91,-1.91,16.13
QATGP25,Qatar Grand Prix,RACEPODIUM,PIA,1,BUY_NO,0.1295,0.6481,0.2224,0.2555,0.0639,1.03,7.96,LOSS,2,True,-1.03,-1.03,15.1
QATGP25,Qatar Grand Prix,RACEPODIUM,NOR,2,BUY_NO,0.1775,0.5455,0.277,0.3368,0.0842,1.27,7.16,WIN,4,False,5.86,5.48,20.58
QATGP25,Qatar Grand Prix,RACEPODIUM,HAD,6,BUY_YES,0.0458,0.2358,0.19,0.1991,0.0498,1.02,22.37,LOSS,18,False,-1.02,-1.02,19.55
ABUDGP25,Abu Dhabi Grand Prix,RACE,VER,1,BUY_NO,0.2834,0.25,0.4666,0.6511,0.15,2.93,10.35,LOSS,1,True,-2.93,-2.93,16.62
ABUDGP25,Abu Dhabi Grand Prix,RACEPODIUM,VER,1,BUY_NO,0.1055,0.6481,0.2464,0.2755,0.0689,1.14,10.85,LOSS,1,True,-1.14,-1.14,15.48
ABUDGP25,Abu Dhabi Grand Prix,RACEPODIUM,PIA,3,BUY_NO,0.2703,0.4057,0.324,0.444,0.111,1.72,6.36,LOSS,2,True,-1.72,-1.72,13.76
