round,event_code,race_name,market_type,driver,grid_pos,finish_pos,outcome,yes_vwap,no_vwap,volume,n_trades,qual_end_utc,race_start_utc
8,MCGP25,Monaco,RACE,HAD,6,6,0,0.01,0.99,200.0,3,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACE,HAM,4,5,0,0.0384,0.9616,2659.0,35,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACE,LEC,2,2,0,0.2717,0.7283,4800.0,79,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACE,VER,5,4,0,0.0629,0.9371,10921.0,110,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACE,NOR,1,1,1,0.541,0.459,12121.0,156,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACEPODIUM,HAM,4,5,0,0.2356,0.7644,84.0,4,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACEPODIUM,VER,5,4,0,0.4769,0.5231,2536.0,18,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACEPODIUM,PIA,3,3,1,0.7414,0.2586,641.0,15,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACEPODIUM,LEC,2,2,1,0.7005,0.2995,263.0,15,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACEPODIUM,NOR,1,1,1,0.7811,0.2189,284.0,15,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACEPODIUM,RUS,14,11,0,0.0492,0.9508,316.0,7,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
9,SGP25,Spain,RACE,HAM,5,6,0,0.0146,0.9854,2256.0,17,2025-05-31T15:20:00+00:00,2025-06-01T13:00:00+00:00
9,SGP25,Spain,RACE,RUS,4,4,0,0.0249,0.9751,2132.0,20,2025-05-31T15:20:00+00:00,2025-06-01T13:00:00+00:00
9,SGP25,Spain,RACE,PIA,1,1,1,0.5942,0.4058,11553.0,121,2025-05-31T15:20:00+00:00,2025-06-01T13:00:00+00:00
9,SGP25,Spain,RACE,NOR,2,2,0,0.2569,0.7431,7288.0,125,2025-05-31T15:20:00+00:00,2025-06-01T13:00:00+00:00
9,SGP25,Spain,RACE,ANT,6,18,0,0.01,0.99,399.0,3,2025-05-31T15:20:00+00:00,2025-06-01T13:00:00+00:00
9,SGP25,Spain,RACE,ALO,10,9,0,0.01,0.99,3135.0,7,2025-05-31T15:20:00+00:00,2025-06-01T13:00:00+00:00
9,SGP25,Spain,RACE,VER,3,10,0,0.1241,0.8759,14077.0,113,2025-05-31T15:20:00+00:00,2025-06-01T13:00:00+00:00
9,SGP25,Spain,RACE,LEC,7,3,0,0.0169,0.9831,1898.0,15,2025-05-31T15:20:00+00:00,2025-06-01T13:00:00+00:00
9,SGP25,Spain,RACEPODIUM,HAM,5,6,0,0.17,0.83,456.0,10,2025-05-31T15:20:00+00:00,2025-06-01T13:00:00+00:00
9,SGP25,Spain,RACEPODIUM,RUS,4,4,0,0.2801,0.7199,151.0,9,2025-05-31T15:20:00+00:00,2025-06-01T13:00:00+00:00
9,SGP25,Spain,RACEPODIUM,VER,3,10,0,0.7593,0.2407,324.0,5,2025-05-31T15:20:00+00:00,2025-06-01T13:00:00+00:00
10,CAGP25,Canada,RACE,LEC,8,5,0,0.015,0.985,919.0,11,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACE,ALB,10,20,0,0.01,0.99,279.0,3,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACE,HAM,5,6,0,0.0224,0.9776,2632.0,36,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACE,ALO,6,7,0,0.01,0.99,1694.0,6,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACE,RUS,1,1,1,0.2461,0.7539,5864.0,94,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACE,VER,2,2,0,0.4022,0.5978,19731.0,249,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
