round,driver,market,vwap_yes,vwap_no,n_trades,volume,price_std,grid_pos,team,finish_pos,outcome,base_rate,edge_yes,edge_no
7,HAM,winner,0.6929529529529529,68.28902902902902,14,2997,0.4594310863197254,12,Ferrari,4,0,0.008,-0.6849529529529529,-67.29702902902902
7,LEC,podium,0.07,0.9299999999999999,1,13,0.0,11,Ferrari,6,0,0.016,-0.054000000000000006,0.05400000000000005
7,LEC,winner,0.12092687950566426,11.074747682801236,9,971,0.3266666666666667,11,Ferrari,6,0,0.008,-0.11292687950566427,-10.082747682801237
7,NOR,podium,0.6472953736654805,0.35270462633451954,5,281,0.03898717737923583,4,McLaren,2,1,0.352,-0.29529537366548053,0.2952953736654805
7,NOR,winner,0.10990154915303317,0.8900984508469669,110,6907,0.020696987810315547,4,McLaren,2,0,0.04,-0.06990154915303318,0.06990154915303304
7,PIA,podium,0.8662000000000001,0.1338,3,50,0.06658328118479392,1,McLaren,3,1,0.8,-0.06620000000000004,0.06619999999999995
7,PIA,winner,0.6281994017946161,0.37180059820538386,215,25075,0.03732392554900017,1,McLaren,3,0,0.496,-0.1321994017946161,0.13219940179461614
7,RUS,podium,0.49398655139289144,0.5060134486071084,23,2082,0.10861688845892255,3,Mercedes,7,0,0.536,0.042013448607108594,-0.04201344860710843
7,RUS,winner,0.04349273021001615,0.9565072697899838,37,3095,0.01397122740474849,3,Mercedes,7,0,0.12,0.07650726978998384,-0.07650726978998379
7,SAI,podium,0.07879518072289156,0.9212048192771084,2,83,0.021213203435596427,6,Williams,8,0,0.12,0.04120481927710844,-0.041204819277108395
7,SAI,winner,1.0,99.0,2,190,0.0,6,Williams,8,0,0.032,-0.968,-98.032
7,STR,podium,0.02,0.98,1,50,0.0,8,Aston Martin,15,0,0.024,0.004,-0.0040000000000000036
7,TSU,winner,1.0,99.0,1,187,0.0,20,Red Bull Racing,10,0,0.0,-1.0,-98.0
7,VER,podium,0.7877186588921283,0.21228134110787172,24,1372,0.061213572426998264,2,Red Bull Racing,1,1,0.72,-0.06771865889212836,0.0677186588921283
7,VER,winner,0.22303441310150782,0.7769655868984922,182,13861,0.042201031787928577,2,Red Bull Racing,1,1,0.24,0.016965586898492174,-0.016965586898492147
8,ALB,winner,1.0,99.0,2,152,0.0,10,Williams,9,0,0.024,-0.976,-98.024
8,ALO,winner,1.0,99.0,5,587,0.0,7,Aston Martin,19,0,0.008,-0.992,-98.008
8,ANT,winner,1.0,99.0,1,20,0.0,15,Mercedes,18,0,0.0,-1.0,-98.0
8,HAD,winner,1.0,99.0,3,200,0.0,6,Racing Bulls,6,0,0.032,-0.968,-98.032
8,HAM,podium,0.23559523809523808,0.7644047619047618,4,84,0.03774917217635374,4,Ferrari,5,0,0.352,0.1164047619047619,-0.11640476190476179
8,HAM,winner,0.13822113576532533,10.83996615268898,35,2659,0.16308218271573302,4,Ferrari,5,0,0.04,-0.09822113576532532,-9.87996615268898
8,LAW,winner,1.0,99.0,1,20,0.0,9,Racing Bulls,8,0,0.008,-0.992,-98.008
8,LEC,podium,0.700532319391635,0.29946768060836504,15,263,0.06334335760267965,2,Ferrari,2,1,0.72,0.019467680608365012,-0.019467680608365012
8,LEC,winner,0.27169583333333325,0.7283041666666666,79,4800,0.020975867495820213,2,Ferrari,2,0,0.24,-0.031695833333333256,0.03169583333333337
8,NOR,podium,0.7810563380281691,0.218943661971831,15,284,0.05304984179322041,1,McLaren,1,1,0.8,0.01894366197183095,-0.018943661971831033
8,NOR,winner,0.5409512416467288,0.4590487583532712,156,12121,0.03990492215556273,1,McLaren,1,1,0.496,-0.04495124164672881,0.04495124164672881
8,PIA,podium,0.7413728549141966,0.2586271450858034,15,641,0.031274514194392186,3,McLaren,3,1,0.536,-0.20537285491419655,0.20537285491419655
8,PIA,winner,0.1172598800427245,0.8827401199572756,90,12171,0.021409741444354424,3,McLaren,3,0,0.12,0.002740119957275494,-0.002740119957275633
8,RUS,podium,0.049208860759493676,0.9507911392405063,7,316,0.010690449676496976,14,Mercedes,11,0,0.0,-0.049208860759493676,0.04920886075949371
8,RUS,winner,1.0,99.0,4,610,0.0,14,Mercedes,11,0,0.0,-1.0,-98.0
8,VER,podium,0.47690457413249215,0.5230954258675079,18,2536,0.0852159885577956,5,Red Bull Racing,4,0,0.192,-0.28490457413249215,0.28490457413249215
8,VER,winner,0.06292464060067758,0.9370753593993225,110,10921,0.027583975960234815,5,Red Bull Racing,4,0,0.016,-0.04692464060067758,0.04692464060067747
9,ALB,winner,1.0,99.0,1,100,0.0,11,Williams,19,0,0.008,-0.992,-98.008
9,ALO,winner,1.0,99.0,7,3135,0.0,10,Aston Martin,9,0,0.024,-0.976,-98.024
9,ANT,winner,1.0,99.0,3,399,0.0,6,Mercedes,18,0,0.032,-0.968,-98.032
9,GAS,podium,0.05,0.95,1,93,0.0,8,Alpine,8,0,0.024,-0.026000000000000002,0.026000000000000023
9,HAD,podium,0.05,0.95,1,93,0.0,9,Racing Bulls,7,0,0.016,-0.034,0.03400000000000003
9,HAM,podium,0.16999999999999998,0.8300000000000001,10,456,0.06419588079550831,5,Ferrari,6,0,0.192,0.02200000000000002,-0.02200000000000002
9,HAM,winner,0.6530895390070921,64.19664450354608,17,2256,0.45934096012336934,5,Ferrari,6,0,0.016,-0.6370895390070921,-63.21264450354608
9,LEC,podium,0.17653846153846153,0.8234615384615385,2,52,0.07071067811865474,7,Ferrari,3,1,0.073,-0.10353846153846154,0.10353846153846158
9,LEC,winner,0.7011959957850368,68.73294520547945,15,1898,0.4002439732153854,7,Ferrari,3,0,0.008,-0.6931959957850368,-67.74094520547945
9,NOR,podium,0.78,0.22000000000000003,1,43,0.0,2,McLaren,2,1,0.72,-0.06000000000000005,0.06
9,NOR,winner,0.2568647091108672,0.7431352908891329,125,7288,0.016558790668013672,2,McLaren,2,0,0.24,-0.016864709110867182,0.016864709110867127
9,PIA,podium,0.8804761904761905,0.11952380952380952,2,21,0.007071067811865481,1,McLaren,1,1,0.8,-0.08047619047619048,0.08047619047619044
9,PIA,winner,0.5942404570241496,0.40575954297585043,121,11553,0.01870350065199342,1,McLaren,1,1,0.496,-0.09824045702414963,0.09824045702414957
9,RUS,podium,0.2801324503311259,0.7198675496688743,9,151,0.05002777006601211,4,Mercedes,4,0,0.352,0.0718675496688741,-0.07186754966887432
9,RUS,winner,0.17116322701688555,15.45594746716698,20,2132,0.4006954480715537,4,Mercedes,4,0,0.04,-0.13116322701688554,-14.495947467166982
9,VER,podium,0.7592901234567901,0.2407098765432099,5,324,0.018708286933869726,3,Red Bull Racing,10,0,0.536,-0.2232901234567901,0.22329012345679006
9,VER,winner,0.1241010158414435,0.8758989841585566,113,14077,0.020609394835835616,3,Red Bull Racing,10,0,0.12,-0.004101015841443498,0.004101015841443401
10,ALB,podium,0.040236220472440944,0.9597637795275591,4,127,0.005000000000000002,10,Williams,20,0,0.04,-0.0002362204724409428,0.0002362204724408734
10,ALB,winner,1.0,99.0,3,279,0.0,10,Williams,20,0,0.024,-0.976,-98.024
10,ALO,podium,0.05975820379965458,0.9402417962003454,7,579,0.01,6,Aston Martin,7,0,0.12,0.060241796200345414,-0.06024179620034542
10,ALO,winner,1.0,99.0,6,1694,0.0,6,Aston Martin,7,0,0.032,-0.968,-98.032
10,ANT,podium,0.14841121495327103,0.8515887850467289,12,749,0.011381803659589922,4,Mercedes,3,1,0.352,0.20358878504672895,-0.20358878504672884
10,ANT,winner,0.45883477469276285,44.38595357305417,34,2197,0.47247490006803095,4,Mercedes,3,0,0.04,-0.41883477469276287,-43.425953573054166
10,BEA,winner,1.0,99.0,1,93,0.0,14,Haas F1 Team,11,0,0.0,-1.0,-98.0
10,BOR,winner,1.0,99.0,1,93,0.0,16,Kick Sauber,14,0,0.0,-1.0,-98.0
10,COL,winner,1.0,99.0,1,140,0.0,12,Alpine,13,0,0.008,-0.992,-98.008
10,GAS,winner,1.0,99.0,1,98,0.0,20,Alpine,15,0,0.0,-1.0,-98.0
10,HAD,winner,1.0,99.0,1,93,0.0,9,Racing Bulls,16,0,0.008,-0.992,-98.008
10,HAM,podium,0.15387019230769233,0.8461298076923076,12,832,0.01850470865548124,5,Ferrari,6,0,0.192,0.03812980769230767,-0.03812980769230756
10,HAM,winner,0.44595744680851074,42.907386018237084,36,2632,0.478106300858538,5,Ferrari,6,0,0.016,-0.4299574468085107,-41.92338601823708
10,LEC,podium,0.09397476340694005,0.9060252365930599,6,317,0.17146428199482247,8,Ferrari,5,0,0.024,-0.06997476340694006,0.06997476340694009
10,LEC,winner,0.6032317736670293,59.21504896626767,11,919,0.5091918731051819,8,Ferrari,5,0,0.008,-0.5952317736670293,-58.223048966267676
10,NOR,podium,0.5691666666666666,0.4308333333333334,17,780,0.15161871683310624,7,McLaren,18,0,0.073,-0.4961666666666666,0.49616666666666664
10,NOR,winner,0.08580574754456166,0.9141942524554383,81,2749,0.056018625650341394,7,McLaren,18,0,0.008,-0.07780574754456165,0.07780574754456171
10,PIA,podium,0.7980687203791471,0.20193127962085305,22,844,0.008335497554466656,3,McLaren,4,0,0.536,-0.2620687203791471,0.2620687203791469
10,PIA,winner,0.36675464583894424,0.6332453541610557,116,3713,0.09185621219134245,3,McLaren,4,0,0.12,-0.24675464583894424,0.24675464583894435
10,RUS,podium,0.6395041322314049,0.36049586776859505,9,121,0.06,1,Mercedes,1,1,0.8,0.16049586776859515,-0.1604958677685951
10,RUS,winner,0.2460504774897681,0.7539495225102321,94,5864,0.07114523829821448,1,Mercedes,1,1,0.496,0.2499495225102319,-0.24994952251023206
10,SAI,winner,1.0,99.0,1,93,0.0,17,Williams,10,0,0.0,-1.0,-98.0
10,STR,winner,1.0,99.0,1,93,0.0,18,Aston Martin,17,0,0.0,-1.0,-98.0
10,VER,podium,0.7276795580110498,0.2723204419889503,8,362,0.0805228450281569,2,Red Bull Racing,2,1,0.72,-0.007679558011049803,0.0076795580110497474
10,VER,winner,0.40218640717652426,0.5978135928234757,249,19731,0.0454455352103282,2,Red Bull Racing,2,0,0.24,-0.16218640717652427,0.16218640717652433
11,ANT,podium,1.0,99.0,1,36,0.0,9,Mercedes,19,0,0.016,-0.984,-98.016
