event,round,race_name,driver,market,vwap_yes,vwap_no,n_trades,volume,price_min,price_max,price_std,grid_pos,gap_to_pole,team,finish_pos,status,is_fastest_lap,outcome,base_win,base_pod,base_rate,edge_yes,edge_no,teammate_grid_delta,is_street,high_overtaking,low_overtaking
AZEGP25,17,Azerbaijan Grand Prix,PIA,podium,0.4804,0.5196,336,54079,0.03,0.8,0.1446,9,0.29699999999999704,McLaren,20,Retired,0.0,0,0.0,0.0,0.0,-0.4804,0.48040000000000005,2.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,PIA,winner,0.1078,0.8922,469,102331,0.03,0.4,0.0556,9,0.29699999999999704,McLaren,20,Retired,0.0,0,0.0,0.0,0.0,-0.1078,0.1078,2.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,RUS,podium,0.3253,0.6747,128,25610,0.19,0.47,0.0412,5,0.9529999999999887,Mercedes,2,Finished,0.0,1,0.0,0.08695652173913043,0.08695652173913043,-0.23834347826086955,0.23834347826086966,1.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,RUS,winner,0.4505,43.3588,68,20841,0.02,1.0,0.368,5,0.9529999999999887,Mercedes,2,Finished,0.0,0,0.0,0.08695652173913043,0.0,-0.4505,-42.3588,1.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,SAI,podium,0.1411,0.8589,255,40984,0.03,0.7,0.1216,2,0.47799999999999443,Williams,3,Finished,0.0,1,0.34782608695652173,0.6521739130434783,0.6521739130434783,0.5110739130434783,-0.5110739130434783,-17.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,SAI,winner,0.422,39.7954,165,44447,0.02,1.0,0.3742,2,0.47799999999999443,Williams,3,Finished,0.0,0,0.34782608695652173,0.6521739130434783,0.34782608695652173,-0.07417391304347826,-39.143226086956524,-17.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,STR,podium,1.0,99.0,1,93,1.0,1.0,0.0,14,1.9440000000000026,Aston Martin,17,Finished,0.0,0,0.0,0.043478260869565216,0.043478260869565216,-0.9565217391304348,-98.04347826086956,3.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,STR,winner,1.0,99.0,1,1122,1.0,1.0,0.0,14,1.9440000000000026,Aston Martin,17,Finished,0.0,0,0.0,0.043478260869565216,0.0,-1.0,-98.0,3.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,TSU,podium,0.0356,0.9644,10,1585,0.02,0.22,0.0619,6,1.0259999999999962,Red Bull Racing,6,Finished,0.0,0,0.0,0.08695652173913043,0.08695652173913043,0.05135652173913043,-0.05135652173913041,5.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,TSU,winner,1.0,99.0,3,772,1.0,1.0,0.0,6,1.0259999999999962,Red Bull Racing,6,Finished,0.0,0,0.0,0.08695652173913043,0.0,-1.0,-98.0,5.0,1,0,0
