year,round,circuit,country,event_name,driver,team,grid_pos,finish_pos,status,points,laps,qual_rain,race_rain,race_temp,qual_temp
2019,9,Spielberg,Austria,Austrian Grand Prix,MAG,Haas F1 Team,10,19,+2 Laps,0.0,69,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,KUB,Williams,17,20,+3 Laps,0.0,68,False,False,34.44406779661016,29.65128205128205
2019,10,Silverstone,Great Britain,British Grand Prix,HAM,Mercedes,2,1,Finished,26.0,52,False,False,18.905084745762718,19.0
2019,10,Silverstone,Great Britain,British Grand Prix,BOT,Mercedes,1,2,Finished,18.0,52,False,False,18.905084745762718,19.0
2019,10,Silverstone,Great Britain,British Grand Prix,LEC,Ferrari,3,3,Finished,15.0,52,False,False,18.905084745762718,19.0
2019,10,Silverstone,Great Britain,British Grand Prix,GAS,Red Bull Racing,5,4,Finished,12.0,52,False,False,18.905084745762718,19.0
2019,10,Silverstone,Great Britain,British Grand Prix,VER,Red Bull Racing,4,5,Finished,10.0,52,False,False,18.905084745762718,19.0
2019,10,Silverstone,Great Britain,British Grand Prix,SAI,McLaren,13,6,Finished,8.0,52,False,False,18.905084745762718,19.0
2019,10,Silverstone,Great Britain,British Grand Prix,RIC,Renault,7,7,Finished,6.0,52,False,False,18.905084745762718,19.0
2019,10,Silverstone,Great Britain,British Grand Prix,RAI,Alfa Romeo Racing,12,8,Finished,4.0,52,False,False,18.905084745762718,19.0
2019,10,Silverstone,Great Britain,British Grand Prix,KVY,Toro Rosso,17,9,Finished,2.0,52,False,False,18.905084745762718,19.0
2019,10,Silverstone,Great Britain,British Grand Prix,HUL,Renault,10,10,Finished,1.0,52,False,False,18.905084745762718,19.0
2019,10,Silverstone,Great Britain,British Grand Prix,NOR,McLaren,8,11,Finished,0.0,52,False,False,18.905084745762718,19.0
